#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv2103c	4	5	1	2	0.000000
Rv2104c	2	2	0	0	-1.000000
Rv2107	7	10	1	2	0.000000
Rv2108	17	21	3	90	0.000000
Rv2109c	0	18	18	693	1.000000
Rv2110c	0	18	18	815	0.999980
Rv2111c	0	1	1	2	-1.000000
Rv2112c	3	33	28	1424	1.000000
Rv2113	10	12	2	68	0.000000
Rv2114	12	14	1	2	0.000000
Rv2115c	2	30	15	798	0.999940
Rv2116	5	6	1	2	0.000000
Rv2117	3	3	0	0	-1.000000
Rv2118c	12	15	2	126	0.000000
Rv2119	16	21	2	111	0.000000
Rv2120c	4	8	4	137	0.000000
Rv2121c	0	9	9	578	0.997500
Rv2122c	0	3	3	144	-1.000000
Rv2123	13	22	5	267	0.012000
Rv2124c	29	44	3	185	0.000000
Rv2125	10	11	1	2	0.000000
Rv2126c	3	6	1	2	0.000000
Rv2127	18	26	2	45	0.000000
Rv2128	4	6	2	19	-1.000000
Rv2129c	8	14	2	104	0.000000
Rv2130c	1	25	24	1160	1.000000
Rv2131c	0	9	9	570	0.997080
Rv2132	2	3	1	2	-1.000000
Rv2133c	9	10	1	2	0.000000
Rv2134c	6	8	1	2	0.000000
Rv2135c	3	6	2	60	0.000000
Rv2136c	7	14	3	54	0.000000
Rv2137c	6	7	1	2	0.000000
Rv2138	2	20	9	542	0.984120
Rv2139	1	14	13	953	0.999980
Rv2140c	9	12	1	2	0.000000
Rv2141c	17	22	2	85	0.000000
Rv2142c	10	13	1	2	0.000000
Rv2143	15	15	0	0	0.000000
Rv2144c	4	5	1	2	0.000000
Rv2145c	0	12	12	774	0.999820
Rv2146c	1	1	0	0	-1.000000
Rv2147c	3	20	17	477	1.000000
Rv2148c	1	9	4	220	0.000140
Rv2149c	4	7	1	2	0.000000
Rv2150c	0	8	8	819	0.993900
Rv2151c	0	8	8	876	0.995000
Rv2152c	0	14	14	1124	1.000000
Rv2153c	0	14	14	820	0.999960
Rv2154c	1	18	15	1202	1.000000
Rv2155c	0	21	21	1423	1.000000
Rv2156c	0	12	12	1035	0.999880
Rv2157c	0	10	10	1357	0.999800
Rv2158c	0	11	11	1170	0.999960
Rv2159c	6	6	0	0	0.000000
Rv2160A	1	5	4	434	0.766280
Rv2161c	7	8	1	2	0.000000
Rv2162c	10	14	1	2	0.000000
Rv2163c	1	30	29	1546	1.000000
Rv2164c	0	10	10	808	0.998780
Rv2165c	0	19	19	906	1.000000
Rv2166c	0	8	8	353	0.998120
Rv2169c	1	6	5	316	0.954540
Rv2170	8	15	2	10	0.000000
Rv2171	7	9	1	2	0.000000
Rv2172c	0	17	17	779	1.000000
Rv2173	9	19	2	53	0.000000
Rv2174	4	28	24	1446	1.000000
Rv2175c	4	5	1	2	0.000000
Rv2176	14	24	2	20	0.000000
Rv2177c	3	4	1	2	-1.000000
Rv2178c	1	17	16	1288	1.000000
Rv2179c	2	7	4	191	0.003020
Rv2180c	10	12	1	2	0.000000
Rv2181	15	20	3	194	0.000000
Rv2182c	0	22	22	737	1.000000
Rv2183c	4	6	1	2	0.000000
Rv2184c	13	18	1	2	0.000000
Rv2185c	8	13	1	2	0.000000
Rv2186c	0	10	10	359	0.999720
Rv2187	27	35	1	2	0.000000
Rv2188c	0	19	19	1103	1.000000
Rv2189c	6	12	2	166	0.000000
Rv2190c	5	20	8	542	0.951860
Rv2191	17	27	2	4	0.000000
Rv2192c	0	6	6	524	0.962320
Rv2193	1	17	16	559	1.000000
Rv2194	0	12	12	709	0.999880
Rv2195	0	22	22	1192	1.000000
Rv2196	2	31	28	1368	1.000000
Rv2197c	10	13	1	2	0.000000
Rv2198c	1	14	11	506	0.999440
Rv2199c	2	8	6	260	0.350860
Rv2200c	3	21	18	780	1.000000
Rv2201	2	30	28	1633	1.000000
Rv2202c	0	20	20	961	1.000000
Rv2203	13	15	1	2	0.000000
Rv2204c	0	4	4	130	-1.000000
Rv2205c	11	13	1	2	0.000000
Rv2206	3	10	4	111	0.000000
Rv2207	2	8	5	307	0.761640
Rv2208	8	10	1	2	0.000000
Rv2209	18	26	3	73	0.000000
Rv2210c	0	20	20	849	1.000000
Rv2211c	1	18	17	694	1.000000
Rv2212	9	11	1	2	0.000000
Rv2213	10	16	4	221	0.000040
Rv2214c	26	32	2	113	0.000000
Rv2215	0	15	15	1597	1.000000
Rv2216	5	13	5	133	0.000000
Rv2217	3	12	9	566	0.995680
Rv2218	1	15	13	865	1.000000
Rv2219	2	9	7	640	0.973880
Rv2219A	1	3	1	2	0.000000
Rv2220	1	30	29	1370	1.000000
Rv2221c	0	39	39	2900	1.000000
Rv2222c	6	20	6	509	0.622640
Rv2223c	26	29	1	2	0.000000
Rv2224c	26	30	2	13	0.000000
Rv2225	0	15	15	805	1.000000
Rv2226	19	25	1	2	0.000000
Rv2227	9	19	3	56	0.000000
Rv2228c	2	20	18	1031	1.000000
Rv2229c	0	5	5	523	0.911520
Rv2230c	5	16	5	95	0.000000
Rv2231c	5	16	5	336	0.421320
Rv2232	6	11	2	246	0.000380
Rv2234	3	7	3	123	0.000000
Rv2235	1	17	16	790	1.000000
Rv2236c	5	11	4	325	0.326380
Rv2237	12	17	2	8	0.000000
Rv2238c	3	6	2	126	0.000000
Rv2239c	4	4	0	0	0.000000
Rv2240c	6	11	2	31	0.000000
Rv2241	1	58	57	2636	1.000000
Rv2242	1	17	16	1094	1.000000
Rv2243	1	7	5	714	0.844300
Rv2244	0	6	6	195	0.996640
Rv2245	0	16	16	1227	1.000000
Rv2246	0	19	19	1278	1.000000
Rv2247	1	14	13	1111	0.999980
Rv2248	5	12	5	259	0.021860
Rv2249c	11	20	2	136	0.000000
Rv2250A	1	3	2	109	0.000000
Rv2250c	8	11	2	17	0.000000
Rv2251	3	7	1	2	0.000000
Rv2252	8	18	4	225	0.000100
Rv2253	10	12	1	2	0.000000
Rv2254c	2	6	2	192	0.000000
Rv2255c	2	2	0	0	-1.000000
Rv2256c	1	7	6	413	0.957500
Rv2257c	7	10	2	231	0.000120
Rv2258c	13	15	1	2	0.000000
Rv2259	4	14	5	470	0.532280
Rv2260	3	6	2	23	0.000000
Rv2261c	7	7	0	0	0.000000
Rv2262c	8	14	4	188	0.000000
Rv2263	10	13	2	67	0.000000
Rv2264c	22	30	3	82	0.000000
Rv2265	15	17	1	2	0.000000
Rv2266	15	17	1	2	0.000000
Rv2267c	18	37	6	193	0.000020
Rv2268c	8	28	8	347	0.876960
Rv2269c	5	12	2	11	0.000000
Rv2270	8	11	1	2	0.000000
Rv2271	6	7	1	2	0.000000
Rv2272	3	4	1	2	0.000000
Rv2273	5	6	1	2	0.000000
Rv2274c	5	9	2	99	0.000000
Rv2275	7	19	5	138	0.000000
Rv2276	6	18	6	451	0.663880
Rv2277c	5	13	5	204	0.000000
Rv2279	0	1	1	2	-1.000000
Rv2280	10	18	2	49	0.000000
Rv2281	13	26	6	468	0.473700
Rv2282c	9	14	2	8	0.000000
Rv2283	1	3	2	34	-1.000000
Rv2284	16	29	3	100	0.000000
Rv2285	16	23	2	60	0.000000
Rv2286c	6	10	2	93	0.000000
Rv2287	12	20	5	279	0.031880
Rv2288	4	5	1	2	0.000000
Rv2289	15	21	2	8	0.000000
Rv2290	10	14	2	21	0.000000
Rv2291	11	17	5	176	0.000000
Rv2292c	2	2	0	0	-1.000000
Rv2293c	12	14	2	8	0.000000
Rv2294	20	24	2	175	0.000000
Rv2295	10	12	2	33	0.000000
Rv2296	15	17	1	2	0.000000
Rv2297	3	8	3	169	0.000020
Rv2298	15	17	2	86	0.000000
Rv2299c	23	30	2	23	0.000000
Rv2300c	15	18	2	155	0.000000
Rv2301	8	11	2	24	0.000000
Rv2302	4	5	1	2	0.000000
Rv2303c	12	19	2	15	0.000000
Rv2304c	1	1	0	0	-1.000000
Rv2305	8	10	1	2	0.000000
Rv2306A	7	8	1	2	0.000000
Rv2306B	1	3	2	61	0.000120
Rv2307A	2	4	1	2	0.000000
Rv2307B	6	21	7	119	0.000000
Rv2307D	5	6	1	2	-1.000000
Rv2307c	15	19	1	2	0.000000
Rv2308	14	18	1	2	0.000000
Rv2309A	9	13	2	17	0.000000
Rv2309c	5	10	3	16	0.000000
Rv2310	2	3	1	2	-1.000000
Rv2311	7	7	0	0	0.000000
Rv2312	3	3	0	0	0.000000
Rv2313c	8	10	1	2	0.000000
Rv2314c	9	17	3	233	0.000040
Rv2315c	15	33	5	131	0.000000
Rv2316	7	14	4	198	0.000020
Rv2317	1	13	9	493	0.994580
Rv2318	11	31	10	336	0.983420
Rv2319c	11	20	3	37	0.000000
Rv2320c	19	28	4	51	0.000000
Rv2321c	5	10	2	9	0.000000
Rv2322c	3	10	3	39	0.000000
Rv2323c	14	22	3	53	0.000000
Rv2324	2	3	1	2	0.000000
Rv2325c	5	10	5	578	0.732160
Rv2326c	18	23	1	2	0.000000
Rv2327	4	6	1	2	0.000000
Rv2328	12	13	1	2	0.000000
Rv2329c	24	29	1	2	0.000000
Rv2330c	5	8	3	190	0.000000
Rv2331	6	7	1	2	0.000000
Rv2331A	5	6	1	2	0.000000
Rv2332	22	29	2	85	0.000000
Rv2333c	15	18	2	208	0.000020
Rv2334	4	15	5	174	0.000000
Rv2335	2	6	2	27	0.000000
Rv2336	9	29	6	144	0.000000
Rv2337c	9	11	2	155	0.000000
Rv2338c	13	39	7	215	0.000600
Rv2339	25	82	21	587	1.000000
Rv2340c	14	15	1	2	0.000000
Rv2341	4	4	0	0	0.000000
Rv2342	3	4	1	2	-1.000000
Rv2343c	0	26	26	1861	1.000000
Rv2344c	16	27	3	110	0.000000
Rv2345	28	30	1	2	0.000000
Rv2346c	1	1	0	0	-1.000000
Rv2347c	2	2	0	0	-1.000000
Rv2348c	2	2	0	0	-1.000000
Rv2349c	23	29	1	2	0.000000
Rv2350c	18	22	1	2	0.000000
Rv2351c	19	24	2	42	0.000000
Rv2352c	16	17	1	2	0.000000
Rv2353c	7	25	6	259	0.019300
Rv2355	0	1	1	2	-1.000000
Rv2356c	16	31	9	518	0.948780
Rv2357c	1	32	31	1321	1.000000
Rv2358	1	5	4	277	0.485480
Rv2359	2	6	3	141	0.000000
Rv2360c	6	7	1	2	0.000000
Rv2361c	1	18	17	852	1.000000
Rv2362c	4	11	3	57	0.000000
Rv2363	7	18	5	509	0.369060
Rv2364c	0	15	15	681	1.000000
Rv2365c	4	4	0	0	0.000000
Rv2366c	12	22	3	40	0.000000
Rv2367c	3	9	6	434	0.934100
Rv2368c	15	17	1	2	0.000000
Rv2369c	3	3	0	0	-1.000000
Rv2370c	13	20	3	305	0.035740
Rv2371	0	1	1	2	-1.000000
Rv2372c	5	7	1	2	0.000000
Rv2373c	1	11	10	838	0.998300
Rv2374c	4	23	10	552	0.994840
Rv2375	9	9	0	0	0.000000
Rv2376c	2	2	0	0	-1.000000
Rv2377c	0	2	2	60	-1.000000
Rv2378c	5	9	2	59	0.000000
Rv2379c	18	64	18	1315	1.000000
Rv2380c	29	79	8	662	0.543680
Rv2381c	7	44	17	906	0.999960
Rv2382c	5	17	4	175	0.000000
Rv2383c	26	50	3	22	0.000000
Rv2384	9	21	4	103	0.000000
Rv2385	15	19	1	2	0.000000
Rv2386c	4	19	11	961	0.999540
Rv2387	22	25	1	2	0.000000
Rv2388c	15	20	3	95	0.000000
Rv2389c	7	9	2	10	0.000000
Rv2390c	5	6	1	2	0.000000
Rv2391	0	19	19	1436	1.000000
Rv2392	0	13	13	616	1.000000
Rv2393	1	8	7	615	0.978040
Rv2394	24	30	2	24	0.000000
Rv2395	27	38	3	87	0.000000
Rv2396	9	15	4	185	0.000000
Rv2397c	0	15	15	999	1.000000
Rv2398c	1	18	17	698	1.000000
Rv2399c	0	10	10	715	0.998900
Rv2400c	0	19	19	1014	1.000000
Rv2401	2	4	1	2	0.000000
Rv2401A	0	1	1	2	-1.000000
Rv2402	23	29	2	88	0.000000
Rv2403c	4	7	2	99	0.000000
Rv2404c	22	30	2	11	0.000000
Rv2405	8	10	1	2	0.000000
Rv2406c	6	8	1	2	0.000000
Rv2407	5	11	1	2	0.000000
Rv2408	15	17	1	2	0.000000
Rv2409c	11	12	1	2	0.000000
Rv2410c	5	11	3	206	0.000020
Rv2411c	22	24	1	2	0.000000
Rv2412	0	1	1	2	-1.000000
Rv2413c	0	13	13	810	0.999980
Rv2414c	6	11	3	290	0.019800
Rv2415c	9	14	3	59	0.000000
Rv2416c	11	28	4	141	0.000000
Rv2417c	6	13	4	108	0.000000
Rv2418c	4	21	9	286	0.942460
Rv2419c	4	7	2	97	0.000000
Rv2420c	1	4	2	51	0.000200
Rv2421c	0	14	14	606	0.999960
Rv2422	5	5	0	0	0.000000
Rv2423	16	18	1	2	0.000000
Rv2424c	3	4	1	2	0.000000
Rv2425c	16	19	2	143	0.000000
Rv2426c	10	11	1	2	0.000000
Rv2427c	9	16	2	133	0.000000
Rv2428	2	10	3	224	0.000140
Rv2429	12	14	1	2	0.000000
Rv2430c	7	10	1	2	0.000000
Rv2431c	5	7	2	73	0.000000
Rv2432c	3	7	2	26	0.000000
Rv2433c	2	6	3	42	-1.000000
Rv2434c	12	25	6	236	0.001640
Rv2435c	24	56	9	240	0.013000
Rv2436	5	12	6	175	0.000000
Rv2437	4	10	4	86	0.000000
Rv2438A	1	2	1	2	-1.000000
Rv2438c	0	39	39	1978	1.000000
Rv2439c	0	13	13	1059	0.999980
Rv2440c	0	12	12	1146	0.999960
Rv2441c	0	4	4	158	0.980340
Rv2442c	0	5	5	302	0.990580
Rv2443	19	22	1	2	0.000000
Rv2444c	1	30	29	2046	1.000000
Rv2445c	1	5	4	308	0.789880
Rv2446c	5	7	1	2	0.000000
Rv2447c	0	13	13	1221	0.999980
Rv2448c	0	27	27	2137	1.000000
Rv2449c	20	26	2	38	0.000000
Rv2450c	6	8	1	2	0.000000
Rv2451	5	8	2	25	0.000000
Rv2452c	3	7	2	5	-1.000000
Rv2453c	5	6	1	2	0.000000
Rv2454c	0	15	15	855	0.999960
Rv2455c	0	37	37	1734	1.000000
Rv2456c	17	20	1	2	0.000000
Rv2457c	1	19	18	1144	1.000000
Rv2458	14	17	1	2	0.000000
Rv2459	17	22	1	2	0.000000
Rv2460c	0	10	10	578	0.999100
Rv2461c	0	10	10	507	0.999260
Rv2462c	15	19	2	23	0.000000
Rv2463	17	21	1	2	0.000000
Rv2464c	8	11	3	200	0.000020
Rv2465c	0	7	7	425	0.989920
Rv2466c	7	10	1	2	0.000000
Rv2467	31	39	2	26	0.000000
Rv2468c	5	5	0	0	0.000000
Rv2469c	7	9	1	2	0.000000
Rv2470	2	9	4	80	0.000000
Rv2471	13	17	2	9	0.000000
Rv2472	6	9	2	30	0.000000
Rv2473	15	17	1	2	0.000000
Rv2474c	4	13	5	46	0.000000
Rv2475c	6	9	2	79	0.000000
Rv2476c	2	64	36	2530	1.000000
Rv2477c	1	28	27	1630	1.000000
Rv2478c	6	7	1	2	0.000000
Rv2481c	5	6	1	2	0.000000
Rv2482c	24	42	4	177	0.000000
Rv2483c	12	27	4	215	0.000040
Rv2484c	19	22	1	2	0.000000
Rv2485c	17	20	2	82	0.000000
Rv2486	10	11	1	2	0.000000
Rv2487c	14	26	4	392	0.065640
Rv2488c	39	47	4	102	0.000000
Rv2489c	5	5	0	0	0.000000
Rv2490c	36	52	3	44	0.000000
Rv2491	2	16	11	351	0.999100
Rv2492	11	31	8	167	0.000020
Rv2494	5	6	1	2	0.000000
Rv2495c	5	15	4	314	0.167940
Rv2496c	3	24	12	501	0.999220
Rv2497c	9	22	4	95	0.000000
Rv2498c	6	9	2	111	0.000000
Rv2499c	4	6	1	2	0.000000
Rv2500c	4	28	11	479	0.996580
Rv2501c	9	28	6	340	0.341500
Rv2502c	15	29	3	192	0.000000
Rv2503c	2	7	4	200	0.000000
Rv2504c	8	12	3	108	0.000000
Rv2505c	22	36	2	20	0.000000
Rv2506	9	10	1	2	0.000000
Rv2507	0	20	20	781	1.000000
Rv2508c	13	17	2	52	0.000000
Rv2509	1	12	11	778	0.999520
Rv2510c	11	16	3	63	0.000000
Rv2511	1	9	8	483	0.990940
Rv2512c	0	2	2	44	-1.000000
Rv2513	8	9	1	2	0.000000
Rv2514c	4	7	3	350	0.506780
Rv2515c	13	22	5	129	0.000000
Rv2516c	2	14	6	369	0.822540
Rv2517c	5	7	1	2	-1.000000
Rv2518c	4	22	9	504	0.977240
Rv2519	27	36	3	39	0.000000
Rv2520c	0	1	1	2	-1.000000
Rv2521	9	11	1	2	0.000000
Rv2522c	9	17	2	18	0.000000
Rv2523c	0	4	4	113	-1.000000
Rv2524c	0	71	71	9146	1.000000
Rv2525c	12	13	1	2	0.000000
Rv2526	0	1	1	2	-1.000000
Rv2527	5	10	2	43	0.000000
Rv2528c	6	11	3	221	0.000000
Rv2529	10	16	5	152	0.000000
Rv2530A	2	4	2	40	-1.000000
Rv2530c	2	4	2	159	0.000060
Rv2531c	31	50	4	95	0.000000
Rv2532c	5	6	1	2	0.000000
Rv2533c	0	4	4	250	0.982640
Rv2534c	0	11	11	502	0.999760
Rv2535c	4	20	7	174	0.000040
Rv2536	8	10	1	2	0.000000
Rv2537c	0	7	7	351	0.995160
Rv2538c	0	10	10	1059	0.999280
Rv2539c	0	5	5	308	0.989060
Rv2540c	0	11	11	1076	0.999740
Rv2541	0	3	3	307	0.940060
Rv2542	11	13	1	2	0.000000
Rv2543	7	14	4	49	0.000000
Rv2544	5	14	4	83	0.000000
Rv2545	7	11	2	9	0.000000
Rv2546	7	10	1	2	0.000000
Rv2547	2	2	0	0	-1.000000
Rv2548	3	5	2	22	0.000000
Rv2549c	6	6	0	0	0.000000
Rv2550c	2	6	3	12	0.000000
Rv2551c	1	2	1	2	-1.000000
Rv2552c	1	6	5	681	0.865140
Rv2553c	0	18	18	1147	1.000000
Rv2554c	0	4	4	370	0.908260
Rv2555c	0	42	42	2535	1.000000
Rv2556c	4	5	1	2	-1.000000
Rv2557	10	12	1	2	0.000000
Rv2558	5	7	1	2	0.000000
Rv2559c	12	15	2	77	0.000000
Rv2560	19	25	2	28	0.000000
Rv2561	3	4	1	2	0.000000
Rv2562	7	9	1	2	0.000000
Rv2563	5	10	4	121	0.000000
Rv2564	13	15	1	2	0.000000
Rv2565	16	26	3	47	0.000000
Rv2566	40	53	3	38	0.000000
Rv2567	15	40	10	648	0.972680
Rv2568c	9	17	4	255	0.003740
Rv2569c	14	23	3	60	0.000000
Rv2570	2	4	1	2	0.000000
Rv2571c	6	9	1	2	0.000000
Rv2572c	0	23	23	1724	1.000000
Rv2573	4	5	1	2	0.000000
Rv2574	7	9	1	2	0.000000
Rv2575	12	19	3	42	0.000000
Rv2576c	9	12	2	14	0.000000
Rv2577	28	41	3	121	0.000000
Rv2578c	13	17	1	2	0.000000
Rv2579	12	15	2	216	0.000040
Rv2580c	0	19	19	1234	1.000000
Rv2581c	1	7	4	234	0.002840
Rv2582	0	19	19	892	1.000000
Rv2583c	6	37	18	1230	1.000000
Rv2584c	9	12	2	32	0.000000
Rv2585c	19	27	2	39	0.000000
Rv2586c	3	19	15	898	0.999980
Rv2587c	1	25	23	1577	1.000000
Rv2588c	2	2	0	0	-1.000000
Rv2589	18	22	2	22	0.000000
Rv2590	53	62	1	2	0.000000
Rv2591	11	14	1	2	0.000000
Rv2592c	1	9	8	846	0.992340
Rv2593c	1	6	3	222	0.000440
Rv2594c	0	6	6	493	0.964480
Rv2596	8	8	0	0	0.000000
Rv2597	8	8	0	0	0.000000
Rv2598	3	5	2	174	0.000000
Rv2599	12	13	1	2	0.000000
Rv2600	8	10	2	25	0.000000
Rv2601	24	26	1	2	0.000000
Rv2601A	1	2	1	2	-1.000000
Rv2602	7	7	0	0	0.000000
Rv2603c	0	7	7	528	0.984680
Rv2604c	0	4	4	165	0.981160
Rv2605c	5	9	4	134	0.000000
Rv2606c	0	12	12	713	0.999820
Rv2607	10	13	2	75	0.000000
Rv2608	26	33	2	145	0.000000
Rv2609c	6	13	6	404	0.777300
Rv2610c	0	16	16	1067	0.999980
Rv2611c	0	15	15	901	1.000000
Rv2612c	0	3	3	354	0.840040
Rv2613c	2	9	5	66	0.000000
Rv2614A	4	7	2	43	0.000000
Rv2614c	0	28	28	1932	1.000000
Rv2615c	3	10	3	142	0.000000
Rv2616	4	5	1	2	0.000000
Rv2617c	9	9	0	0	0.000000
Rv2618	9	11	1	2	0.000000
Rv2619c	1	2	1	2	-1.000000
Rv2620c	6	6	0	0	0.000000
Rv2621c	1	4	3	117	0.000000
Rv2622	5	8	2	54	0.000000
Rv2623	6	9	2	27	0.000000
Rv2624c	8	11	2	21	0.000000
Rv2625c	9	19	3	207	0.000000
Rv2626c	4	7	2	12	0.000000
Rv2627c	11	22	5	252	0.003480
Rv2628	8	9	1	2	0.000000
Rv2629	19	25	2	41	0.000000
Rv2630	7	10	2	47	0.000000
Rv2631	17	22	2	159	0.000000
Rv2632c	3	3	0	0	-1.000000
Rv2633c	11	14	2	75	0.000000
Rv2634c	19	34	3	146	0.000000
Rv2635	4	7	2	32	0.000000
Rv2636	11	18	3	25	0.000000
Rv2637	7	10	2	40	0.000000
Rv2638	4	5	1	2	0.000000
Rv2639c	6	7	1	2	0.000000
Rv2640c	4	4	0	0	0.000000
Rv2641	8	8	0	0	0.000000
Rv2642	4	4	0	0	0.000000
Rv2643	24	31	2	10	0.000000
Rv2644c	2	7	2	39	0.000000
Rv2645	4	4	0	0	0.000000
Rv2646	16	19	2	86	0.000000
Rv2647	4	6	2	50	0.000080
Rv2649	0	1	1	2	-1.000000
Rv2650c	2	10	7	584	0.909640
Rv2651c	3	8	5	323	0.798620
Rv2652c	2	7	3	159	0.000000
Rv2653c	0	4	4	273	0.983440
Rv2655c	17	22	1	2	0.000000
Rv2656c	5	5	0	0	0.000000
Rv2657c	4	5	1	2	-1.000000
Rv2658c	10	13	1	2	0.000000
Rv2659c	17	21	1	2	0.000000
Rv2660c	2	5	2	25	0.000000
Rv2661c	2	2	0	0	-1.000000
Rv2662	4	5	1	2	0.000000
Rv2663	9	10	1	2	0.000000
Rv2664	0	1	1	2	-1.000000
Rv2665	2	6	4	214	0.334600
Rv2666	0	3	3	659	0.606500
Rv2667	4	6	1	2	0.000000
Rv2668	6	9	1	2	0.000000
Rv2669	4	8	2	75	0.000000
Rv2670c	9	17	4	92	0.000000
Rv2671	7	13	5	475	0.652620
Rv2672	14	19	2	14	0.000000
Rv2673	1	29	28	1212	1.000000
Rv2674	6	9	2	9	0.000000
Rv2675c	14	14	0	0	0.000000
Rv2676c	0	13	13	610	0.999980
Rv2677c	2	16	14	1250	1.000000
Rv2678c	0	17	17	1066	1.000000
Rv2679	5	6	1	2	0.000000
Rv2680	4	10	4	36	0.000000
Rv2681	16	20	2	215	0.000060
Rv2682c	0	24	24	1704	1.000000
Rv2683	8	11	1	2	0.000000
Rv2684	13	20	2	45	0.000000
Rv2685	9	15	2	17	0.000000
Rv2686c	8	14	2	23	0.000000
Rv2687c	4	12	6	362	0.857840
Rv2688c	7	11	1	2	0.000000
Rv2689c	17	23	2	56	0.000000
Rv2690c	0	32	32	1814	1.000000
Rv2691	7	14	2	13	0.000000
Rv2692	4	4	0	0	0.000000
Rv2693c	9	13	2	149	0.000000
Rv2694c	5	8	3	125	0.000000
Rv2695	7	10	1	2	0.000000
Rv2696c	4	11	4	135	0.000000
Rv2697c	0	5	5	258	0.992640
Rv2698	0	12	12	395	0.999940
Rv2699c	0	4	4	187	0.981380
Rv2700	2	8	5	404	0.874020
Rv2701c	7	11	3	121	0.000000
Rv2702	8	14	5	162	0.000020
Rv2703	0	21	21	1537	1.000000
Rv2704	7	12	4	151	0.000000
Rv2705c	8	8	0	0	0.000000
Rv2706c	2	2	0	0	-1.000000
Rv2707	23	29	1	2	0.000000
Rv2708c	6	7	1	2	0.000000
Rv2709	9	12	2	156	0.000000
Rv2710	9	13	1	2	0.000000
Rv2711	0	7	7	568	0.982800
Rv2712c	11	16	3	115	0.000000
Rv2713	23	23	0	0	0.000000
Rv2714	13	17	2	75	0.000000
Rv2715	13	19	2	24	0.000000
Rv2716	7	10	1	2	0.000000
Rv2717c	8	10	2	29	0.000000
Rv2718c	6	8	2	164	0.000000
Rv2719c	5	5	0	0	0.000000
Rv2720	0	8	8	269	0.999680
Rv2721c	21	29	2	22	0.000000
Rv2722	4	7	2	81	0.000040
Rv2723	19	27	2	51	0.000000
Rv2724c	21	26	1	2	0.000000
Rv2725c	17	21	2	77	0.000000
Rv2726c	0	11	11	755	0.999580
Rv2727c	1	15	14	910	1.000000
Rv2728c	9	11	1	2	0.000000
Rv2729c	9	11	1	2	0.000000
Rv2730	12	12	0	0	0.000000
Rv2731	8	9	1	2	0.000000
Rv2732c	3	6	2	114	0.000000
Rv2733c	12	16	1	2	0.000000
Rv2734	10	22	7	188	0.000120
Rv2735c	19	30	7	239	0.008600
Rv2736c	5	7	1	2	0.000000
Rv2737A	1	3	1	2	-1.000000
Rv2737c	18	29	3	169	0.000000
Rv2738c	1	3	1	2	-1.000000
Rv2739c	4	6	1	2	0.000000
Rv2740	6	6	0	0	0.000000
Rv2741	17	24	2	53	0.000000
Rv2742c	15	15	0	0	0.000000
Rv2743c	10	13	1	2	0.000000
Rv2744c	9	10	1	2	0.000000
Rv2745c	2	3	1	2	0.000000
Rv2746c	1	14	13	520	0.999940
Rv2747	1	8	7	389	0.987360
Rv2748c	4	31	25	2216	1.000000
Rv2749	2	3	1	2	-1.000000
Rv2750	7	13	3	217	0.000000
Rv2751	6	23	6	224	0.001260
Rv2752c	12	19	3	182	0.000000
Rv2753c	0	10	10	666	0.999040
Rv2754c	0	9	9	437	0.998080
Rv2755c	3	8	2	26	0.000000
Rv2756c	16	37	9	377	0.936220
Rv2757c	3	8	4	140	0.000000
Rv2758c	1	5	3	12	-1.000000
Rv2759c	5	9	1	2	0.000000
Rv2760c	2	2	0	0	-1.000000
Rv2761c	11	26	4	92	0.000000
Rv2762c	3	5	1	2	0.000000
Rv2763c	0	9	9	312	0.999600
Rv2764c	0	22	22	780	1.000000
Rv2765	12	15	2	17	0.000000
Rv2766c	6	6	0	0	0.000000
Rv2767c	9	10	1	2	0.000000
Rv2768c	14	18	1	2	0.000000
Rv2769c	17	18	1	2	0.000000
Rv2770c	13	16	1	2	0.000000
Rv2771c	6	9	2	46	0.000000
Rv2772c	8	11	2	164	0.000000
Rv2773c	0	12	12	716	0.999780
Rv2774c	2	3	1	2	0.000000
Rv2775	8	13	2	11	0.000000
Rv2776c	8	15	2	9	0.000000
Rv2777c	17	21	2	34	0.000000
Rv2778c	7	10	1	2	0.000000
Rv2779c	3	9	5	176	0.000000
Rv2780	16	25	4	54	0.000000
Rv2781c	8	20	5	384	0.420780
Rv2782c	10	14	3	168	0.000000
Rv2783c	0	19	19	2101	1.000000
Rv2784c	6	6	0	0	0.000000
Rv2785c	0	4	4	191	0.980760
Rv2786c	1	14	13	900	0.999940
Rv2787	25	27	1	2	0.000000
Rv2788	6	7	1	2	0.000000
Rv2789c	6	17	5	438	0.388180
Rv2790c	13	23	4	116	0.000000
Rv2791c	8	15	3	164	0.000000
Rv2792c	4	6	1	2	0.000000
Rv2793c	2	10	5	470	0.643280
Rv2794c	0	9	9	674	0.997260
Rv2795c	5	16	5	116	0.000000
Rv2796c	5	6	1	2	0.000000
Rv2797c	20	23	1	2	0.000000
Rv2798c	2	3	1	2	0.000000
Rv2799	14	14	0	0	0.000000
Rv2800	17	21	1	2	0.000000
Rv2801c	5	6	1	2	0.000000
Rv2802c	6	8	2	65	0.000000
Rv2803	7	7	0	0	0.000000
