hUMAP_x	hUMAP_y	gene_names
11.85039	6.4593024	Rv0609A
5.4197702	-5.4498363	Rv0610c
10.224182	5.027481	Rv0611c
9.343972	1.0549372	Rv0612
7.6073527	3.353538	Rv0613c
6.4208097	-0.17280506	Rv0614
5.2272005	-6.6963744	Rv0615
4.182431	-0.12463157	Rv0616c
12.734006	0.41542324	Rv0617
7.556758	1.32408	Rv0618
9.376397	1.3870468	Rv0619
9.307111	2.9029145	Rv0620
7.893215	0.45840442	Rv0621
9.390041	0.10852886	Rv0622
12.218622	-4.200999	Rv0623
12.560357	0.31995398	Rv0624
6.6699104	0.672706	Rv0625c
9.509732	-0.31380492	Rv0626
17.47732	12.607663	Rv0627
10.258629	-1.566251	Rv0628c
4.799698	-1.1591038	Rv0629c
5.4540753	4.4328365	Rv0630c
11.348036	-4.741112	Rv0631c
10.981474	3.4655004	Rv0632c
8.364506	2.5797768	Rv0633c
8.59218	-0.4347768	Rv0634A
11.71917	20.273012	Rv0634B
7.365659	3.1521585	Rv0634c
19.245243	11.332818	Rv0635
1.2681115	5.124913	Rv0636
16.624056	4.28815	Rv0637
14.924657	18.622963	Rv0638
17.811855	13.510448	Rv0639
17.72468	13.759013	Rv0640
18.017057	14.064841	Rv0641
20.32542	16.82674	Rv0642c
12.09542	10.169865	Rv0643c
12.140301	-6.008268	Rv0644c
12.477839	-5.7977977	Rv0645c
5.7826085	-0.09995729	Rv0646c
3.7458954	9.079409	Rv0647c
2.4181278	15.125183	Rv0648
3.7266786	6.148922	Rv0649
25.063614	3.2153409	Rv0650
19.080704	8.021429	Rv0651
9.173132	-0.87918687	Rv0653c
9.759474	0.35099092	Rv0654
11.915104	-3.27685	Rv0655
11.732442	0.5575372	Rv0656c
13.968584	1.0591382	Rv0657c
9.486719	2.7634401	Rv0658c
13.302418	-2.1446145	Rv0659c
12.467966	4.219557	Rv0660c
8.639652	-0.7124083	Rv0661c
9.940836	2.4222286	Rv0662c
7.5445986	3.0439594	Rv0663
13.681093	4.0925374	Rv0664
10.694507	1.9864876	Rv0665
19.028318	11.649903	Rv0667
10.770895	3.733036	Rv0668
20.870047	0.08145924	Rv0669c
5.470173	-5.984978	Rv0670
9.336886	-2.1134863	Rv0671
8.242192	4.150718	Rv0672
13.398957	2.9085424	Rv0673
9.8967705	3.4527862	Rv0674
10.580904	6.2262344	Rv0675
2.5077982	15.056444	Rv0676c
12.676486	-1.3932943	Rv0677c
11.799934	-1.5054458	Rv0678
5.3854575	-5.5441957	Rv0679c
14.120443	-2.286023	Rv0680c
2.557369	15.350279	Rv0681
16.798485	4.4879346	Rv0682
-1.7554387	16.344135	Rv0683
16.81587	-9.757255	Rv0684
12.938745	20.461824	Rv0685
7.4089975	5.01174	Rv0686
9.916503	3.3639593	Rv0687
11.625186	1.1477383	Rv0688
10.036147	-0.42443138	Rv0689c
11.26456	4.1795735	Rv0690c
7.961776	7.2141824	Rv0691c
10.654043	-1.0346607	Rv0692
20.660019	0.11101249	Rv0693
11.893548	-0.0003422035	Rv0694
8.928843	12.165564	Rv0695
6.118596	6.7525167	Rv0696
9.822366	0.6433271	Rv0697
13.79355	-0.4627397	Rv0698
12.496798	3.5147946	Rv0699
17.402567	13.363579	Rv0700
17.3801	12.115906	Rv0701
18.953522	8.62889	Rv0702
16.755634	4.4275875	Rv0703
12.846822	20.374521	Rv0704
15.930609	-1.3395187	Rv0705
-1.7221518	16.323692	Rv0706
16.802498	4.416231	Rv0707
20.474936	16.958218	Rv0708
22.115795	10.999097	Rv0709
12.454747	-1.32259	Rv0710
2.4519331	15.111383	Rv0711
8.790641	-2.7193923	Rv0712
13.666604	2.568502	Rv0713
18.99991	8.202321	Rv0714
21.839949	11.622337	Rv0715
15.173156	11.097046	Rv0716
7.345845	-3.6168182	Rv0717
16.909193	-9.852407	Rv0718
18.88978	9.14008	Rv0719
15.567032	-1.1979034	Rv0720
7.990912	-0.22599468	Rv0721
16.364069	9.134779	Rv0722
16.605537	9.583363	Rv0723
2.5197122	15.263966	Rv0724
9.649484	0.75820315	Rv0725c
3.9854264	14.1505995	Rv0726c
15.665038	2.356631	Rv0727c
13.012351	2.4107356	Rv0728c
