Rv_ID,sanger_level_II
Rv0831c,V - UNKNOWN FUNCTION
Rv0839,V - UNKNOWN FUNCTION
Rv0854,V - Conserved hypotheticals
Rv0856,V - UNKNOWN FUNCTION
Rv0857,V - UNKNOWN FUNCTION
Rv0862c,V - UNKNOWN FUNCTION
Rv0863,V - UNKNOWN FUNCTION
Rv0874c,V - UNKNOWN FUNCTION
Rv0877,V - UNKNOWN FUNCTION
Rv0880,V - Conserved hypotheticals
Rv0883c,V - UNKNOWN FUNCTION
Rv0893c,V - Conserved hypotheticals
Rv0895,V - Conserved hypotheticals
Rv0901,V - UNKNOWN FUNCTION
Rv0910,V - UNKNOWN FUNCTION
Rv0911,V - UNKNOWN FUNCTION
Rv0912,V - UNKNOWN FUNCTION
Rv0918,V - UNKNOWN FUNCTION
Rv0919,V - UNKNOWN FUNCTION
Rv0926c,V - UNKNOWN FUNCTION
Rv0937c,V - Conserved hypotheticals
Rv0938,V - Conserved hypotheticals
Rv0950c,V - Conserved hypotheticals
Rv0960,V - Conserved hypotheticals
Rv0963c,V - UNKNOWN FUNCTION
Rv0965c,V - UNKNOWN FUNCTION
Rv0966c,V - UNKNOWN FUNCTION
Rv0967,V - Conserved hypotheticals
Rv0968,V - UNKNOWN FUNCTION
Rv0988,V - UNKNOWN FUNCTION
Rv0992c,V - Conserved hypotheticals
Rv1003,V - UNKNOWN FUNCTION
Rv1008,V - Conserved hypotheticals
Rv1009,V - Conserved hypotheticals
Rv1011,V - Conserved hypotheticals
Rv1021,V - UNKNOWN FUNCTION
Rv1037c,V - Conserved hypotheticals
Rv1038c,V - Conserved hypotheticals
Rv1044,V - UNKNOWN FUNCTION
Rv1051c,V - UNKNOWN FUNCTION
Rv1056,V - UNKNOWN FUNCTION
Rv1057,V - UNKNOWN FUNCTION
Rv1059,V - Conserved hypotheticals
Rv1061,V - UNKNOWN FUNCTION
Rv1062,V - UNKNOWN FUNCTION
Rv1063c,V - UNKNOWN FUNCTION
Rv1065,V - UNKNOWN FUNCTION
Rv1066,V - Conserved hypotheticals
Rv1069c,V - UNKNOWN FUNCTION
Rv1073,V - UNKNOWN FUNCTION
Rv1075c,V - Conserved hypotheticals
Rv1078,V - Conserved hypotheticals
Rv1083,V - UNKNOWN FUNCTION
Rv1084,V - Conserved hypotheticals
Rv1086,V - Conserved hypotheticals
Rv1099c,V - Conserved hypotheticals
Rv1100,V - UNKNOWN FUNCTION
Rv1102c,V - Conserved hypotheticals
Rv1112,V - Conserved hypotheticals
Rv1114,V - Conserved hypotheticals
Rv1117,V - UNKNOWN FUNCTION
