Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0115,Rv1162,Rv3744,Rv1469,Rv1994c,Rv1013,Rv2063A,Rv0735,Rv1020,Rv1850,Rv1155
Rv0116c,Rv0583c,Rv3043c,Rv2713,Rv1364c,Rv3547,Rv2174,Rv1560,Rv0132c,Rv0414c,Rv1155
Rv0117,Rv3084,Rv2221c,Rv0407,Rv2589,Rv2614c,Rv1449c,Rv0014c,Rv1285,Rv0092,Rv1820
Rv0118c,Rv0669c,Rv3382c,Rv2158c,Rv2914c,Rv1651c,Rv2351c,Rv0252,Rv3585,Rv0901,Rv2824c
Rv0119,Rv1942c,Rv0391,Rv1235,Rv1349,Rv0202c,Rv3717,Rv0450c,Rv2048c,Rv1348,Rv2358
Rv0120c,Rv0844c,Rv2763c,Rv0386,Rv1143,Rv1552,Rv2820c,Rv0838,Rv0194,Rv2914c,Rv1651c
Rv0121c,Rv3565,Rv1169c,Rv1938,Rv1218c,Rv0005,Rv3155,Rv0220,Rv3130c,Rv1187,Rv1264
Rv0122,Rv3610c,Rv3272,Rv0749,Rv0208c,Rv0418,Rv0070c,Rv3589,Rv3911,Rv0478,Rv1088
Rv0123,Rv3709c,Rv0287,Rv2764c,Rv2130c,Rv2364c,Rv0524,Rv2697c,Rv1390,Rv1002c,Rv2883c
Rv0124,Rv3357,Rv1561,Rv3488,Rv2232,Rv1001,Rv2744c,Rv0137c,Rv1185c,Rv3157,Rv2213
Rv0125,Rv3045,Rv2950c,Rv1653,Rv2953,Rv1931c,Rv2332,Rv2780,Rv0956,Rv1400c,Rv0237
Rv0126,Rv0900,Rv2829c,Rv3835,Rv1114,Rv2586c,Rv3168,Rv0626,Rv0211,Rv0596c,Rv3358
Rv0127,Rv3671c,Rv2518c,Rv0410c,Rv0384c,Rv2553c,Rv3101c,Rv3102c,Rv1512,Rv2202c,Rv0946c
Rv0128,Rv2793c,Rv3903c,Rv3765c,Rv1206,Rv2266,Rv2584c,Rv1026,Rv1033c,Rv0654,Rv1917c
Rv0129c,Rv0241c,Rv3586,Rv0600c,Rv1184c,Rv0206c,Rv1633,Rv1474c,Rv2215,Rv2985,Rv1475c
Rv0130,Rv0020c,Rv0948c,Rv3223c,Rv0949,Rv3270,Rv2626c,Rv3417c,Rv0617,Rv1884c,Rv0678
Rv0131c,Rv0221,Rv3408,Rv1980c,Rv0764c,Rv3409c,Rv2296,Rv2631,Rv3065,Rv1983,Rv3825c
Rv0132c,Rv1850,Rv1155,Rv2063A,Rv3547,Rv0583c,Rv2573,Rv0116c,Rv1364c,Rv3744,Rv1162
Rv0133,Rv0516c,Rv0447c,Rv0159c,Rv2590,Rv0676c,Rv1747,Rv0899,Rv3824c,Rv0598c,Rv3469c
Rv0134,Rv1213,Rv1151c,Rv3617,Rv3406,Rv3158,Rv0183,Rv0103c,Rv0535,Rv0598c,Rv2402
Rv0135c,Rv1820,Rv2258c,Rv0092,Rv1640c,Rv2241,Rv2537c,Rv0491,Rv2589,Rv2614c,Rv2746c
Rv0136,Rv3065,Rv2136c,Rv2349c,Rv1690,Rv0194,Rv2631,Rv1297,Rv0458,Rv1552,Rv3409c
Rv0137c,Rv2232,Rv0203,Rv0045c,Rv0933,Rv3357,Rv2702,Rv2118c,Rv1302,Rv3754,Rv0486
Rv0138,Rv0445c,Rv2852c,Rv2218,Rv0342,Rv1365c,Rv2416c,Rv1328,Rv2267c,Rv3297,Rv0821c
Rv0139,Rv0301,Rv0901,Rv1143,Rv2914c,Rv0386,Rv3585,Rv1399c,Rv2763c,Rv3382c,Rv0252
Rv0140,Rv2919c,Rv1259,Rv2801c,Rv3240c,Rv0496,Rv3149,Rv3358,Rv0211,Rv0626,Rv1537
Rv0141c,Rv2631,Rv3409c,Rv3619c,Rv3065,Rv1601,Rv2136c,Rv0458,Rv2878c,Rv2349c,Rv1690
Rv0142,Rv0948c,Rv0020c,Rv0130,Rv3417c,Rv3270,Rv0678,Rv1884c,Rv3687c,Rv0949,Rv3223c
Rv0143c,Rv1013,Rv0853c,Rv1162,Rv1469,Rv0735,Rv1994c,Rv1020,Rv3731,Rv3744,Rv1329c
Rv0144,Rv3469c,Rv1760,Rv0015c,Rv2029c,Rv1843c,Rv0159c,Rv0351,Rv3824c,Rv0598c,Rv0447c
Rv0145,Rv3487c,Rv2484c,Rv0838,Rv1384,Rv3056,Rv3080c,Rv0518,Rv0194,Rv0844c,Rv2009
Rv0146,Rv2593c,Rv2211c,Rv2068c,Rv2495c,Rv0300,Rv2464c,Rv1992c,Rv0813c,Rv1433,Rv2783c
Rv0147,Rv0221,Rv2296,Rv3408,Rv1980c,Rv1983,Rv0764c,Rv3825c,Rv1876,Rv1297,Rv3377c
Rv0148,Rv0802c,Rv1746,Rv0233,Rv3089,Rv2958c,Rv0182c,Rv3133c,NONE,NONE,NONE
Rv0149,Rv2267c,Rv2852c,Rv0821c,Rv1365c,Rv0445c,Rv3146,Rv2962c,Rv1328,Rv2218,Rv3821
Rv0150c,Rv2154c,Rv2445c,Rv3588c,Rv0489,Rv1956,Rv1991A,Rv2392,Rv3490,Rv2110c,Rv0462
Rv0151c,Rv0977,Rv2918c,Rv3106,Rv3862c,Rv0286,Rv3366,Rv2299c,Rv3743c,Rv2294,Rv0518
